id,preferred app,app use frequency,experience on app,app inaccuracy,app reliable,stats experience,vis type,question type,guess,guess-alone,true precipitation amount,true pop,confidence,follow up text,effort bar,effort dot,effort hop,effort text,rank1,rank2,rank3,rank4,feedback
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Hypothetical Outcome Plot,probability,2,2,0.25,0.35,Kind of Confident,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Text,event,Yes,Yes,0.44375,0.152083333,Kind of Confident,It looks like it will rain,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Text,amount,0.05,0.05,0.05,0.3,Unsure,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Quantile Dot Plot,amount,0,0,0.15,0.4,Kind of Confident,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Hypothetical Outcome Plot,event,Yes,Yes,0.579166667,0.1875,Very Confident,It seems likely that it will rain,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Static Bar Chart,event,No,No,0.747916667,0.272916667,Neutral,It seems like there is not more than a 50% chance of rain,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Static Bar Chart,alone,Yes,Yes,0.8875,0.325,Unsure,It looks very wet,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Static Bar Chart,probability,0.2,0.2,0.3,1,Very unsure,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Text,friend,Yes,Yes,0.575,0.1875,Very Confident,It seems like it'll rain in the afternoon/evening,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Static Bar Chart,amount,0.05,0.05,0.05,0.2,Kind of Confident,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Quantile Dot Plot,alone,Yes,Yes,0.4125,0.225,Neutral,It seems like a low chance of rain,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Quantile Dot Plot,probability,1,1,0,0.05,Very Confident,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Text,probability,40,40,0.1,0.4,Very Confident,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Hypothetical Outcome Plot,amount,0,0,0.1,0.2,Kind of Confident,,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Static Bar Chart,friend,Yes,Yes,0.4625,0.2875,Unsure,It seems like there is some rain in the afternoon and evening,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Hypothetical Outcome Plot,alone,Yes,Yes,0.05,0.0375,Very Confident,Looks like only morning rain,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Hypothetical Outcome Plot,friend,No,No,0.05,0.025,Very Confident,"Same as the last one, it looks like the rain is just in the morning",Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1fy8MmG0wGaXQP-6f,Apple Weather,Almost daily,Very favorable,Not very often,Somewhat reliable,College Stats Courses,Quantile Dot Plot,event,Yes,Yes,0.5375,0.225,Very Confident,Seems like a high chance of rain in the afternoon,Unfavorable,Neutral,Unfavorable,Neutral,Text,QDP,Hop,Bar,
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Text,alone,Yes,Yes,0.2,0.1,Kind of Confident,I interpreted this as a 75% chance of no precipitation at 3:00pm.,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Hypothetical Outcome Plot,probability,50,50,0.1,0.65,Very unsure,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Text,amount,0,0,0.1,0.25,Unsure,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Quantile Dot Plot,event,Yes,Yes,0.53125,0.189583333,Kind of Confident,"If the event is between 12 am and 8am, I would book the indoor space. If the event is between 9am and 5pm, I would not book the indoor space. If the event is after 6pm, I would definitely pay the fee. The probability of precipitation is quite high after that point. But if the event is all day, I would book the indoor space.",Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Text,friend,Yes,Yes,0.4625,0.2,Kind of Confident,60% chance is more than half. I'd rather not risk hiking in a downpour.,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Static Bar Chart,alone,Yes,Yes,0.3875,0.1625,Kind of Confident,"Although I can't tell the chance of precipitation, I'd be fine walking in some moderate rain.",Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Hypothetical Outcome Plot,alone,Yes,Yes,0.225,0.125,Very Confident,There are more HOPs that indicate no rain for 3pm than those that indicate moderate rain.,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Quantile Dot Plot,friend,No,No,0.95,0.45,Kind of Confident,"There seems to be an overall high probability of precipitation over the course of the day. Even if the amount of rain seems to be low for most of the day, I'd rather not go hiking in the rain.",Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Static Bar Chart,amount,0.20,0.20,0.2,0.7,Unsure,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Quantile Dot Plot,alone,Yes,Yes,0.0875,0.05,Very Confident,0 percent chance of rain with 0 inches.,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Hypothetical Outcome Plot,amount,0,0,0.1,0.95,Unsure,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Quantile Dot Plot,amount,0,0,0.2,0.8,Neutral,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Static Bar Chart,event,Yes,Yes,0.564583333,0.208333333,Neutral,"If it does end up raining, hard to say if it will, there will probably be quite a lot of rain.",Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Hypothetical Outcome Plot,event,No,No,0.50625,0.210416667,Kind of Confident,The possibility of rain in most of the HOPs after 12 pm seems low. So I would try to push the event to the afternoon.,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Static Bar Chart,friend,No,No,0.5125,0.225,Neutral,"Seems like if it rains, it will be a lot of rain. I don't know if it will actually rain though.",Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Static Bar Chart,probability,0,0,0,0,Unsure,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Quantile Dot Plot,probability,95,95,0.05,1,Kind of Confident,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Text,event,Yes,Yes,0.404166667,0.133333333,Kind of Confident,"Assuming the event isn't between 4am and 8 am, if it rains, it seems like it'll be moderate or heavy rain.",Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Text,probability,40,40,0.3,0.4,Very Confident,,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1mnbtDjN28wEWem7z,Weather.com,More than once per day,Favorable,Sometimes,Somewhat reliable,None,Hypothetical Outcome Plot,friend,Yes,Yes,0.9625,0.125,Very Confident,Almost every HOP shows there being light or moderate rain at 3pm.,Neutral,Very unfavorable,Very unfavorable,Unfavorable,Text,QDP,Hop,Bar,I think I may have picked the opposite of what I meant for some of the hiking questions. But I believe my rationale makes it clear what I meant.
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Quantile Dot Plot,friend,No,No,0.475,0.25,Kind of Confident,"It seems like there is a low chance of rain, and even if there is rain, it doesn't look like there will be much. And I don't particularly mind hiking in a drizzle, but I would bring a rain jacket just in case",Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Static Bar Chart,probability,100,100,0.4,1,Very unsure,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Quantile Dot Plot,alone,No,No,0.875,0.45,Very Confident,"It looks like there is about a 80% chance of rain, and it will rain a fair bit",Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Text,alone,No,No,0.775,0.325,Very Confident,70% chance of rain is a no go,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Text,friend,No,No,0.6625,0.275,Very Confident,75% chance of heavy rain is a no go,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Hypothetical Outcome Plot,event,,,0.59375,0.214583333,So Unsure,"it seems like it will stop raining after 11 or so? but idk what kind of event I am running, maybe I would just start a little later, like at noon?",Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Static Bar Chart,amount,0.35,0.35,0.35,0.55,Very Confident,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Text,event,No,No,0.34375,0.13125,Very Confident,"assuming it ends by 4, we should be good",Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Static Bar Chart,alone,Yes,Yes,0.175,0.1,Very Confident,doesnt look like there will be much rain at 3,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Hypothetical Outcome Plot,alone,Yes,Yes,0.4625,0.1875,Kind of Confident,it seems like no matter what there wont be much rain at 3pm tomorrow,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Hypothetical Outcome Plot,amount,0.3,0.3,0.35,0.85,Kind of Confident,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Text,probability,40,40,0.05,0.4,Very Confident,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Hypothetical Outcome Plot,probability,0.2,0.2,0.3,0.85,Unsure,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Quantile Dot Plot,probability,40,40,0.1,0.45,Kind of Confident,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Static Bar Chart,event,Yes,Yes,0.597916667,0.20625,Kind of Confident,seems like there is a good enough chance of rain all day that it would be worth it,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Static Bar Chart,friend,Yes,Yes,0.35,0.2125,Very Confident,"it looks like there is going to be a lot of rain after 4, which would be during the hike",Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Quantile Dot Plot,event,No,No,0.625,0.247916667,Kind of Confident,Seems like it wont start raining until late in the day,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Hypothetical Outcome Plot,friend,No,No,0.4,0.2,Very Confident,most of the outcomes don't rain after 3pm,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Text,amount,0.02,0.02,0.1,0.1,Unsure,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1qHG0GfcL2jZSGVI-,Weather.com,Daily,Favorable,Not very often,Very reliable,None,Quantile Dot Plot,amount,0.3,0.3,0.3,1,Kind of Confident,,Neutral,Neutral,Unfavorable,Favorable,Text,QDP,Bar,Hop,Very unfavorable
-M_1uTo6gjhDhQH9Dp6Q,Apple Weather,More than once per day,Favorable,Not very often,Somewhat reliable,College Stats Courses,Static Bar Chart,alone,No,No,0.575,0.1875,Kind of Confident,"The chance of rain is moderate, but is supposed to be quite heavy at 2 pm.",Very favorable,Favorable,Very unfavorable,Very favorable,Bar,Text,QDP,Hop,Very unfavorable
-M_1uTo6gjhDhQH9Dp6Q,Apple Weather,More than once per day,Favorable,Not very often,Somewhat reliable,College Stats Courses,Static Bar Chart,friend,No,No,0.0875,0.0625,Kind of Confident,"The chance of rain is moderate, but isn't supposed to be raining at 2 pm so rain will likely be lighter than anticipated.",Very favorable,Favorable,Very unfavorable,Very favorable,Bar,Text,QDP,Hop,Very unfavorable
-M_1uTo6gjhDhQH9Dp6Q,Apple Weather,More than once per day,Favorable,Not very often,Somewhat reliable,College Stats Courses,Text,event,Yes,Yes,0.414583333,0.147916667,Very Confident,"The chance of rain in the afternoon is quite high. Unless the event happens in the morning, I would recommend a rain location.",Very favorable,Favorable,Very unfavorable,Very favorable,Bar,Text,QDP,Hop,Very unfavorable
-M_1uTo6gjhDhQH9Dp6Q,Apple Weather,More than once per day,Favorable,Not very often,Somewhat reliable,College Stats Courses,Quantile Dot Plot,alone,No,No,0.9375,0.3,Kind of Confident,"The chance of precipitation is very high at 3 pm, although it's moderate.",Very favorable,Favorable,Very unfavorable,Very favorable,Bar,Text,QDP,Hop,Very unfavorable
-M_1uTo6gjhDhQH9Dp6Q,Apple Weather,More than once per day,Favorable,Not very often,Somewhat reliable,College Stats Courses,Text,alone,No,No,0.7625,0.3875,Very Confident,There is a very high chance of rain tomorrow at 3 pm.,Very favorable,Favorable,Very unfavorable,Very favorable,Bar,Text,QDP,Hop,Very unfavorable
-M_1uTo6gjhDhQH9Dp6Q,Apple Weather,More than once per day,Favorable,Not very often,Somewhat reliable,College Stats Courses,Hypothetical Outcome Plot,alone,No,No,0.275,0.175,Unsure,It's very difficult to figure out which outcome is the correct one.,Very favorable,Favorable,Very unfavorable,Very favorable,Bar,Text,QDP,Hop,Very unfavorable
-M_1uTo6gjhDhQH9Dp6Q,Apple Weather,More than once per day,Favorable,Not very often,Somewhat reliable,College Stats Courses,Quantile Dot Plot,amount,0.15,0.15,0.25,0.6,Very Confident,,Very favorable,Favorable,Very unfavorable,Very favorable,Bar,Text,QDP,Hop,Very unfavorable
